id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
6493,CA,Low Emission Vehicle (LEV) Standards,"California's LEV II exhaust emissions standards apply to Model Year (MY)
2004 and subsequent model year passenger cars, light-duty trucks, and
medium-duty passenger vehicles meeting specified exhaust standards. The
LEV II standards represent the maximum exhaust emissions for LEVs, Ultra
LEVs, and Super Ultra LEVs, including flexible fuel, bi-fuel, and
dual-fuel vehicles when operating on an alternative fuel. MY 2009 and
subsequent model year passenger cars, light-duty trucks, and medium-duty
passenger vehicles must meet specified fleet average greenhouse gas
(GHG) exhaust emissions requirements. Each manufacturer must comply with
these fleet average GHG requirements, which are based on California Air
Resources Board (CARB) calculations. Bi-fuel, flexible fuel, dual-fuel,
and grid-connected hybrid electric vehicles may be eligible for an
alternative compliance method.

In December 2012, CARB finalized regulatory requirements, referred to as
LEV III, which allow vehicle manufacturer compliance with the U.S.
Environmental Protection Agency's GHG requirements for MY 2017-2025 to
serve as compliance with California's adopted GHG emissions requirements
for those same model years.

In August 2022, CARB approved LEV IV standards, which updates
regulations for light- and medium-duty internal combustion engine
vehicles by reducing allowable exhaust emissions and emissions caused by
evaporation. LEV IV also changes the calculation procedure for new
vehicle fleet-average emissions and prohibits zero emissions vehicles
from being considered in fleet-average emissions calculations by MY
2029.

For more information, see the CARB
[LEV](https://ww2.arb.ca.gov/our-work/programs/low-emission-vehicle-program)
website for more information.

(Reference [California Code of Regulations Title 13, Section 1961-1961.3](http://www.oal.ca.gov/) and [CARB Resolution 22-12](https://ww2.arb.ca.gov/rulemaking/2022/advanced-clean-cars-ii))",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Code of Regulations Title 13, Section 1961-1961.3</a>",<a href = 'https://ww2.arb.ca.gov/rulemaking/2022/advanced-clean-cars-ii' target = '_blank'>CARB Resolution 22-12</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6528,IN,Clean Vehicle Acquisition Requirements,"Each state entity must purchase or lease a clean energy vehicle, unless
the Indiana Department of Administration (Department) determines that
the purchase or lease of the vehicle is inappropriate for its intended
use, or the purchase or lease would cost 20% more than a comparable
non-clean energy vehicle. Additional exemptions apply. A clean energy
vehicle is defined as a vehicle that operates on one or more alternative
energy sources, including a rechargeable energy storage system,
electricity, ethanol, biodiesel, hydrogen, natural gas, and propane.
Each state entity must annually submit to the Department information
regarding its use of clean energy vehicles. (Reference [Indiana
Code](http://www.in.gov/legislative/ic/code/) 5-22-5-8.5)
",ELEC,<a href = 'http://www.in.gov/legislative/ic/code/' target = '_blank'>Indiana Code 5-22-5-8.5</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6531,WA,Electric Vehicle (EV) Promotion and Infrastructure Development,"Any regional transportation planning organization containing a county
with a population greater than one million must collaborate with state
and local governments to promote EV use, invest in EV charging
infrastructure, and seek federal or private funding for these efforts.
Collaborative planning efforts may include:

-   Developing short- and long-term plans outlining how state, regional,
    and local governments may construct electric vehicle supply
    equipment locations and ensure that the infrastructure can be
    electrically supported;
-   Supporting public education and training programs on EVs;
-   Developing an implementation plan for counties with a population
    greater than 500,000 to have 10% of public and private parking
    spaces ready for EV charging by December 31, 2018; and
-   Developing model ordinances and guidance for local governments for
    site assessment and installing EV infrastructure.

(Reference [Revised Code of Washington](http://apps.leg.wa.gov/rcw/)
47.80.090)
",ELEC,<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 47.80.090</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6532,WA,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Infrastructure and Battery Tax Credit,"Public lands used for installing, maintaining, and operating EV chargers
are exempt from leasehold excise taxes. Additionally, the state sales
and use taxes do not apply to EV and FCEV batteries or fuel cells; labor
and services for installing, repairing, altering, or improving EV and
FCEV batteries fuel cells, or EV and FCEV infrastructure; the sale of
property used for EV and hydrogen fueling infrastructure; and the sale
of zero emission buses. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 82.29A.125, 82.08.816, and
82.12.816)
",ELEC,"<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 82.29A.125, 82.08.816, and 82.12.816</a>","<a href = 'http://leg.wa.gov/' target = '_blank'>House Bill 2042, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6533,WA,Electric Vehicle (EV) and Battery Exchange Station Regulations,"State and local governments may lease land for installing, maintaining,
and operating EV charging stations or electric vehicle battery exchange
stations for up to 50 years for at least \$1 per year. Additionally, the
installation of battery charging and exchange stations is categorically
exempt from the Washington Environmental Policy Act. (Reference [Revised
Code of Washington](http://apps.leg.wa.gov/rcw/) 79.13.100 and
43.21C.410)
",ELEC,<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 79.13.100 and 43.21C.410</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6534,WA,Electric Vehicle (EV) Infrastructure Definitions,"EV infrastructure is defined as structures, machinery, and equipment
necessary and integral to support a EV, including battery charging
stations, rapid charging stations, and battery exchange stations. A
battery charging station is defined as an electrical component assembly
or cluster of component assemblies designed specifically to charge
batteries within a EV. A rapid charging station is defined as an
industrial grade electrical outlet that allows for faster recharging of
EV batteries through higher power levels. A battery exchange station is
defined as a fully automated facility that will enable a EV with a
swappable battery to enter a drive lane and exchange the depleted
battery with a fully charged battery through a fully automated process.
Infrastructure must meet or exceed any applicable state building
standards, codes, and regulations. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 19.28.281 and 47.80.090)
",ELEC,"<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 19.27.540, 19.28.281, and 47.80.090</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6538,WA,Local Government Electric Vehicle (EV) Infrastructure Requirements,"Jurisdictions must develop regulations to allow the use of EV
infrastructure and battery charging stations in all areas except
critical areas or areas zoned for residential or resource use. The
Washington Department of Commerce included a model ordinance,
development regulations, and guidance for local governments for site
assessment and installing EV infrastructure in [Electric Vehicle
Infrastructure: A Guide for Local Governments in Washington
State](https://www.psrc.org/sites/default/files/2022-03/electric-vehicle-guidance.pdf).
This requirement applies to jurisdictions that meet specific location
criteria and is contingent upon federal funding. Additionally, cities or
municipalities may adopt incentive programs to encourage retrofitting of
existing structures capable of charging EVs. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 35.63.126, 35.63.127,
35A.63.107, 36.70.695, 36.70A.695, and 43.31.970)
",ELEC,"<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 35.63.126, 35.63.127, 35A.63.107, 36.70.695, 36.70A.695, and 43.31.970</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6546,AL,Fuel-Efficient Green Fleets Policy and Fleet Management Program Development,"The Alabama Legislature established a Green Fleets Review Committee
(Committee) and Green Fleets Policy (Policy) outlining a procurement
procedure for state vehicles based on criteria that includes fuel
economy and life cycle costing. State fleet managers must classify their
vehicle inventory for compliance with the Policy and submit annual plans
for procuring fuel-efficient vehicles. These plans must reflect a 4%
annual increase in average fleet fuel economy for light-duty vehicles, a
3% annual increase in average fleet fuel economy for medium-duty
vehicles, and a 2% annual increase in average fleet fuel economy for
heavy-duty vehicles per fiscal year. Government entities must manage and
operate their fleets in a manner that is energy efficient, minimizes
emissions, and reduces petroleum dependency by using specified proven
technology the Committee identifies.

(Reference [Code of Alabama 41-17A-1 through 41-17A-6](http://alisondb.legislature.state.al.us/acas/ACASLoginfire.asp))",ELEC,"<a href = 'http://governor.alabama.gov/news/newsroom.aspx?t=29' target = '_blank'>Executive Order 38, 2013)</a>",<a href = 'http://alisondb.legislature.state.al.us/acas/ACASLoginfire.asp' target = '_blank'>Code of Alabama 41-17A-1 through 41-17A-6</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6561,OK,Access to State Alternative Fueling Stations,"The Oklahoma Office of Management and Enterprise Services (OMES) Fleet
Management Division may construct, install, acquire, operate, and
provide alternative fueling infrastructure where public access to
alternative fuel infrastructure is not readily available. OMES must
discontinue public access to their fueling stations if a privately owned
alternative fueling station opens within a five-mile radius. Alternative
fuels include natural gas, propane, ethanol, methanol, biodiesel,
electricity, and hydrogen. (Reference [Oklahoma
Statutes](http://www.oklegislature.gov/) 74-78 and 74-130.2)
",ELEC,<a href = 'http://www.oklegislature.gov/' target = '_blank'>Oklahoma Statutes 74-130.2 and 74-78</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6566,HI,Electric Vehicle (EV) Parking Requirement,"All parking facilities that are available for use by the general public
and include at least 100 parking spaces must designate at least one
parking space specifically for EVs, provided that no parking spaces
required by the Americans with Disabilities Act Accessibility Guidelines
are reduced or displaced. Spaces must be clearly marked and equipped
with EV charging stations. All EV charging stations installed must be
Level 2 or direct current fast charging (DCFC) stations. An owner of
multiple parking lots may designate and install EV charging stations in
fewer parking spaces than required in one or more parking lots, as long
as the owner meets the requirement for total number of aggregate spaces
for all parking lots. A fee of \$50-100 applies for non-EVs that park in
spaces designated for EVs.

(Reference [Hawaii Revised Statutes 291-71 and 291-72](http://www.capitol.hawaii.gov/))",ELEC,<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>Hawaii Revised Statutes 291-71 and 291-72</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6567,HI,Alternative Fuel and Advanced Vehicle Acquisition and Rental Requirements,"State agencies must coordinate vehicle acquisition efforts to transition
light-duty state fleet vehicles to 100% zero emission vehicles (ZEVs) by
2035. To support the state fleet transition to ZEVs, state and county
agencies must purchase light-duty vehicles that reduce petroleum
consumption. Vehicle purchasing priority is as follows:

1.  ZEVs;
2.  Plug-in hybrid electric vehicles (PHEVs);
3.  Other alternative fuel vehicles; and
4.  Hybrid electric vehicles (HEVs).

Exemptions may apply. State agencies must purchase the most
fuel-efficient vehicle available that meets agency needs, use
alternative fuels and ethanol blended gasoline when available, evaluate
a purchase preference for biodiesel blends, and promote the efficient
operation of vehicles. For the purpose of this requirement, an
alternative fuel is defined as an alcohol fuel, an alcohol fuel blend
containing at least 85% alcohol, natural gas, liquefied petroleum gas
(propane), hydrogen, biodiesel, a biodiesel blend containing at least
20% biodiesel, a fuel derived from biological materials, or electricity
generated from off-board energy sources.

State employees renting a vehicle for government business must rent
either EVs or HEVs. Rental rates for EVs and HEVs must be comparable to
that of a conventional internal combustion engine vehicle equivalent.

For more information, see the \[Hawaii State Energy Offices [Vehicle
Purchasing
Guidelines](https://energy.hawaii.gov/what-we-do/energy-efficiency/state-agencies/)
website.

(Reference [Hawaii Revised Statutes 103D-412 and 196-9](http://www.capitol.hawaii.gov/))",ELEC,<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>Hawaii Revised Statutes 103D-412 and 196-9</a>,"<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>House Bill 424, 2021</a>","<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>House Bill 552, 2021</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
